Serial,Comph_we,Comph_wk,Comp_we,Comp_wk,Smart_we,Smart_wk,Watch_we,Watch_wk
1033258,3,1,0,0,2,1,6,6
1033259,5,3,0,0,2,4,4,3
1033260,4,2,0,0,4,3,4,2
1033261,0,0,0,0,7,3,6,3
1033262,4,3,0,0,2,1,1,0.5
1033263,4,3,0,0,3,2,5,3
1033264,0.5,2,1,0,2,2,6,4
1033265,5,4,0,0,7,7,6,6
1033266,1,2,0.5,0,4,3,3,1
1033267,4,1,0,0,3,1,2,0
1033268,3,1,3,1,6,3,4,3
1033270,0,1,0,0,5,4,3,2
1033271,4,2,0,0,5,3,3,2
1033272,6,5,0,0,7,5,7,4
1033273,0.5,0.5,0,0,4,2,4,2
1033274,2,4,0,0,2,7,0,0
1033275,1,1,0,0,5,4,5,3
1033276,1,0.5,1,0,2,2,2,1
1033277,6,2,0,0,2,1,4,3
1033278,2,2,3,2,1,0.5,2,4
1033279,0,0,0.5,0,0,0,3,1
1033280,2,3,2,2,7,7,6,6
1033281,5,3,0,0,7,7,0.5,0
1033282,4,2,2,0,2,1,7,3
1033283,0.5,0.5,7,5,1,1,7,6
1033284,2,1,4,2,2,1,2,1
1033285,5,5,5,3,7,6,6,5
1033286,0,0.5,3,1,3,1,2,1
1033287,1,2,5,3,5,4,7,5
1033288,7,7,0.5,0,7,7,5,3
1033289,2,2,1,0,1,1,4,2
1033290,0,0.5,0,0,0.5,1,3,2
1033291,3,2,5,3,3,3,2,2
1033292,1,0.5,0,0,7,5,6,4
1033293,4,4,5,3,6,5,6,5
1033294,3,2,6,5,0.5,0.5,2,1
1033295,3,3,4,0.5,7,7,2,0.5
1033296,1,0,4,1,0,1,3,1
1033297,3,1,4,2,0,0,2,1
1033299,0.5,0,0,0,4,2,4,3
1033300,2,1,3,2,6,5,5,2
1033301,2,1,0,0,4,3,3,1
1033302,0,0,4,0,0,0,3,2
1033303,0,0,7,0,0,0,3,3
1033304,7,3,7,5,2,1,3,1
1033305,2,1,5,2,1,1,4,3
1033306,4,4,5,4,4,7,5,3
1033307,7,4,7,5,7,7,3,2
1033308,4,3,3,2,1,2,2,2
1033309,1,1,4,2,0.5,2,2,4
1033310,0.5,0,5,3,1,0,6,4
1033312,4,2,3,2,2,1,5,4
1033313,1,1,7,7,0,0,7,7
1033314,7,6,3,3,0,0,2,0
1033315,0,4,3,3,3,2,3,4
1033316,6,5,6,5,3,2,7,6
1033317,0,0.5,4,3,7,6,4,6
1033318,1,0.5,3,1,7,5,4,2
1033319,2,1,6,2,3,1,6,3
1033320,0.5,0.5,6,2,0,0,3,1
1033321,0,0,3,2,2,2,5,3
1033322,5,4,2,1,3,2,5,3
1033323,7,7,6,3,7,7,5,4
1033324,7,6,7,7,1,1,7,6
1033325,0,0,4,3,1,0.5,2,2
1033326,3,2,6,5,7,7,5,3
1033327,3,1,5,4,3,5,6,5
1033328,1,0.5,3,2,3,3,2,1
1033329,0,0,4,2,0,0,2,2
1033330,0.5,0.5,0,0,4,3,6,5
1033331,2,1,0,0,0,0,3,2
1033332,2,1,0,0,0.5,0.5,0.5,0
1033333,1,0.5,7,0.5,6,4,7,3
1033334,0,0,1,0,7,7,1,1
1033335,1,1,0,1,0,0.5,2,3
1033336,3,3,0,0,5,4,3,4
1033337,1,2,5,3,6,3,5,3
1033338,4,1,0,0,7,7,2,4
1033339,2,2,3,2,5,4,5,4
1033340,3,2,1,2,7,7,2,4
1033341,4,2,4,3,6,5,4,3
1033342,0,0,6,3,7,5,7,5
1033343,5,4,5,4,2,1,5,4
1033344,1,0.5,1,1,1,1,2,3
1033345,7,5,7,5,0.5,1,2,4
1033346,3,3,6,4,0,0,3,2
1033347,3,2,4,2,0,0,1,0.5
1033348,0,0.5,5,2,7,7,5,2
1033349,2,2,0.5,0.5,1,1,4,4
1033350,1,1,4,3,0,0,3,3
1033351,0,2,4,3,0,0,4,3
1033352,1,0.5,3,2,1,1,4,3
1033353,0,0,0,0,7,5,7,5
1033354,7,4,7,4,3,2,5,3
1033355,0,0,5,2,3,2,4,2
1033356,3,2,0,0,6,4,4,3
1033357,1,1,6,4,2,1,5,4
1033358,0.5,1,3,2,0.5,0.5,4,3
1033359,1,1,6,3,3,1,4,3
1033360,0.5,0.5,2,2,7,5,3,1
1033361,0,0.5,5,4,4,2,1,1
1033362,1,1,3,2,7,4,3,4
1033363,1,1,7,6,0,0,3,2
1033364,4,2,4,3,7,7,6,5
1033365,1,0.5,7,7,3,2,7,7
1033366,5,2,7,3,2,1,7,2
1033367,4,2,6,4,0,0,1,0.5
1033369,0,0,0,0,2,1,0.5,0.5
1033370,7,6,7,7,7,7,7,7
1033371,4,3,4,2,1,1,7,5
1033372,1,0.5,7,3,0,0,3,2
1033373,2,2,5,4,7,7,6,5
1033374,2,1,0,0,5,3,3,2
1033375,1,1,7,4,7,7,1,1
1033376,0,0.5,4,2,3,2,2,1
1033377,3,1,2,4,5,4,4,3
1033378,0.5,0.5,4,2,0.5,0.5,2,3
1033379,0,0,0.5,0,6,6,4,2
1033380,1,1,2,0,6,6,2,3
1033381,1,1,4,3,1,1,1,0.5
1033382,0,0.5,4,4,2,1,2,3
1033383,1,1,6,5,1,0.5,4,2
1033384,1,0,6,3,3,2,4,1
1033385,0,0,0,0,1,0.5,2,1
1033386,4,2,0,0,4,4,3,2
1033387,0,0,5,2,0.5,0.5,4,3
1033388,3,3,0.5,0,5,4,3,2
1033389,0,1,2,1,6,4,4,2
1033390,5,3,4,1,7,7,4,2
1033391,0.5,0.5,6,6,0.5,0,1,1
1033392,1,2,7,3,7,7,3,3
1033393,0,0.5,0,0,6,6,5,4
1033394,7,5,0,0,5,4,4,2
1033395,4,6,3,0,2,1,4,1
1033396,1,1,0,0,1,0.5,2,0.5
1033397,2,2,4,2,2,0.5,3,1
1033398,5,4,7,4,5,4,5,2
1033399,7,5,7,6,7,7,7,5
1033400,1,0.5,3,2,4,4,4,2
1033401,0.5,2,4,2,0,0,5,3
1033402,3,3,3,3,3,3,5,4
1033403,0.5,0.5,5,2,3,1,3,1
1033404,0,0,7,5,0.5,0.5,3,1
1033405,1,1,4,2,2,2,3,2
1033406,4,3,5,4,3,2,4,2
1033407,0,1,0,0,7,7,5,5
1033409,1,0.5,0,0,5,2,5,2
1033410,0,0,3,4,3,1,7,5
1033411,2,1,3,2,0,0,3,2
1033412,1,0.5,2,1,2,1,3,2
1033413,0.5,0.5,0,0,7,5,4,2
1033414,0,0,7,1,7,5,0.5,1
1033415,0,0,1,0.5,0,0,5,1
1033416,0,0,0,0,0,0,1,1
1033417,0.5,2,7,6,3,1,2,1
1033418,0,0,7,7,7,7,5,5
1033419,0.5,0.5,3,1,0,0,3,2
1033420,7,7,5,5,7,7,7,7
1033421,0,1,1,0.5,0,0,3,2
1033422,3,3,7,4,0.5,0.5,6,4
1033423,1,0.5,2,0.5,4,1,3,2
1033424,6,5,7,5,4,2,7,5
1033425,0.5,0.5,1,1,7,7,1,1
1033426,1,1,7,5,2,1,7,5
1033428,1,0.5,6,3,0.5,0.5,4,2
1033429,0.5,2,3,0.5,7,7,2,0.5
1033430,2,1,5,4,2,1,4,3
1033431,5,3,1,0.5,3,3,3,1
1033432,4,4,5,4,4,3,5,5
1033433,1,1,5,2,5,4,4,1
1033434,0.5,0.5,2,2,0.5,1,4,1
1033435,0,0,5,3,7,7,4,4
1033436,5,4,6,2,7,7,6,5
1033437,1,1,3,2,1,1,1,0.5
1033438,2,3,7,5,0,0,7,6
1033439,0,0,3,2,3,2,1,1
1033440,2,1,3,1,4,3,6,4
1033441,7,7,5,3,7,7,2,0
1033442,0,0,5,4,7,7,3,4
1033443,0.5,0.5,0.5,0.5,7,7,4,3
1033444,0.5,2,3,1,6,4,3,2
1033445,1,1,1,1,2,1,6,4
1033446,1,0.5,5,3,1,1,2,3
1033447,3,2,0,0,0,0,2,2
1033448,0.5,0.5,4,2,5,3,3,1
1033449,0,0,2,1,1,1,1,0.5
1033450,0,0,2,2,0.5,0.5,2,1
1033451,2,0.5,3,0,0.5,0,2,1
1033452,4,2,3,3,4,4,4,2
1033453,0,0,1,1,1,0.5,4,3
1033454,2,1,6,3,0,0,6,3
1033455,3,2,5,4,7,4,7,4
1033456,0.5,0,3,2,6,6,2,2
1033457,3,2,1,0.5,3,2,5,3
1033458,0,0,0,0,4,4,4,5
1033459,1,1,4,2,0.5,0.5,3,3
1033460,5,3,5,4,4,3,5,3
1033461,0,1,0.5,3,3,4,2,0.5
1033462,0,0,2,0.5,0.5,0.5,3,3
1033463,2,2,4,2,0.5,0.5,4,3
1033464,0,0,0.5,0.5,5,3,3,1
1033465,0.5,0.5,6,3,4,2,3,1
1033466,0.5,0,6,3,2,2,4,3
1033467,0.5,0.5,7,4,5,5,7,6
1033468,6,4,0,3,5,4,3,5
1033469,6,5,7,4,3,3,5,3
1033470,1,1,2,0,0.5,0,1,0.5
1033471,3,1,3,1,3,1,4,2
1033472,7,7,7,5,0.5,0.5,3,3
1033473,6,5,5,2,0,0,7,5
1033474,3,2,1,0.5,3,2,4,3
1033475,1,1,0,0,2,2,0.5,0.5
1033476,1,0.5,2,0,2,1,3,3
1033477,4,2,7,4,4,2,3,1
1033478,1,1,0,0,4,4,3,4
1033479,1,1,7,0.5,7,5,7,4
1033480,1,0.5,3,0.5,3,2,4,2
1033481,1,1,4,2,1,1,4,1
1033482,0.5,0.5,5,3,4,3,2,1
1033483,3,2,2,1,0,0,1,0
1033484,3,2,2,1,2,1,4,3
1033485,0,0,0,0.5,6,6,5,4
1033486,0,0,4,3,3,2,4,4
1033487,4,2,3,2,3,3,3,3
1033488,1,4,2,3,5,3,2,1
1033489,0.5,0.5,5,3,1,1,0.5,1
1033490,2,4,4,1,5,3,4,2
1033491,4,2,3,5,7,6,3,5
1033492,0,0,7,5,3,3,0.5,1
1033493,6,4,3,1,7,7,2,2
1033494,0.5,0.5,3,3,0.5,0.5,7,7
1033495,1,0.5,3,2,0,0,4,2
1033496,3,3,0,0,2,2,2,2
1033497,0.5,3,2,0,4,4,0.5,1
1033498,1,0.5,1,0,4,5,0.5,3
1033499,0.5,1,0.5,0,1,1,1,2
1033500,5,4,5,4,1,1,3,1
1033501,1,1,0,0.5,2,1,4,2
1033502,7,5,6,4,7,5,7,5
1033503,2,1,5,2,3,1,4,2
1033504,0,0,2,2,7,3,4,2
1033505,0.5,0.5,6,4,0,0,3,1
1033506,3,2,2,1,1,0.5,1,0.5
1033508,1,2,4,3,0.5,0.5,4,3
1033509,0,0,4,1,7,7,7,7
1033510,0.5,0.5,5,3,7,7,4,2
1033511,5,5,3,0.5,0.5,0.5,1,0.5
1033512,0.5,0.5,2,1,2,1,4,2
1033513,0,0,7,3,0.5,0.5,5,4
1033514,1,0.5,1,0,3,2,3,1
1033515,0,0,2,1,4,4,6,3
1033516,4,2,1,1,5,3,4,2
1033517,0,0,2,1,4,3,3,2
1033518,0.5,0.5,2,2,7,5,5,2
1033519,0,0,2,1,4,2,4,1
1033520,4,3,1,5,5,4,6,4
1033521,0.5,0.5,5,3,2,3,1,2
1033522,1,2,5,4,7,6,3,3
1033523,0,0,0,2,5,4,1,2
1033524,0,0,7,6,0.5,0.5,2,1
1033525,7,7,0,0,7,7,0,0
1033526,0.5,0.5,0,0,5,3,4,3
1033527,4,3,0,1,7,7,6,5
1033528,0.5,0,7,5,1,0.5,4,1
1033529,0,1,1,3,4,5,1,2
1033530,1,2,0,0,4,4,3,3
1033531,1,0.5,1,1,4,2,5,3
1033532,7,4,7,3,6,4,7,5
1033533,7,5,3,1,0,0,6,4
1033534,7,3,4,2,0,0,0.5,1
1033535,4,4,0,0,5,5,3,4
1033536,1,1,7,3,4,2,7,3
1033537,0.5,0.5,6,4,7,6,4,3
1033539,0,0,3,0,1,1,5,4
1033540,5,3,6,3,1,0.5,3,3
1033541,0,0,3,1,1,0.5,5,3
1033542,1,0,3,0,2,0,7,0
1033543,1,0.5,1,0,0,0,4,2
1033544,7,7,5,3,7,7,2,1
1033545,3,1,1,1,7,7,3,1
1033546,0,0,0,1,4,7,5,7
1033547,3,2,5,1,1,0,5,3
1033548,7,7,1,0.5,7,7,7,7
1033549,0.5,0.5,1,1,3,3,3,2
1033550,1,1,1,0,4,4,4,4
1033551,0.5,0.5,2,0,2,1,3,1
1033552,1,1,4,2,2,1,2,1
1033553,1,1,4,1,1,1,5,3
1033554,4,4,3,0,7,6,7,6
1033555,1,1,3,2,1,1,6,4
1033557,2,1,4,0,0.5,0.5,5,3
1033558,2,2,3,3,1,1,2,2
1033559,0.5,0,2,0,1,1,4,2
1033560,0.5,1,2,1,6,5,4,5
1033561,1,0.5,2,0.5,5,4,5,4
1033562,2,1,0,0,1,1,4,1
1033563,5,3,6,0,2,3,5,4
1033564,4,3,1,0,2,2,7,5
1033565,2,1,1,0.5,0,0,2,1
1033566,3,1,4,1,3,0.5,4,1
1033567,7,5,7,6,7,7,6,5
1033568,1,0.5,1,0,2,0.5,5,2
1033569,1,1,2,0.5,0.5,0.5,4,3
1033570,4,4,7,4,5,5,6,3
1033571,0.5,1,1,2,4,1,0.5,2
1033572,5,5,4,2,1,1,6,4
1033573,2,5,0.5,3,0.5,3,2,4
1033574,2,2,1,0.5,7,4,3,5
1033575,2,0.5,0,0,4,2,2,0.5
1033576,1,0.5,1,2,6,4,3,2
1033577,0,0.5,0,0,6,6,2,3
1033578,0.5,0.5,2,0.5,0.5,0.5,6,3
1033579,0,0,1,0,0,0,3,2
1033580,2,1,0.5,0,5,3,6,3
1033581,0.5,0.5,4,2,0,0,1,0
1033582,7,7,1,3,7,7,6,5
1033583,0.5,0.5,0,0,0,0,5,4
1033584,2,1,3,2,0,0,4,2
1033585,0.5,0.5,1,2,0,0,6,6
1033586,2,1,0,0,2,1,5,2
1033587,3,2,3,1,4,1,4,3
1033588,0.5,0.5,7,4,1,0.5,2,0.5
1033589,0,0.5,5,2,0.5,0,2,1
1033590,1,2,5,3,5,4,3,0.5
1033591,0.5,0,0,0,0.5,0.5,3,3
1033592,0,0,0,0,7,5,3,0.5
1033593,1,1,4,3,7,7,5,3
1033594,0,0,0,0,7,7,4,3
1033595,1,1,3,3,7,7,5,5
1033596,0,0,0.5,0,3,1,2,1
1033598,0,0,0,0,0,0,3,3
1033599,2,0.5,0,0,3,2,4,3
1033601,3,3,1,1,6,6,3,2
1033603,5,5,5,5,0,0,4,2
1033604,1,3,7,4,3,5,5,0
1033606,4,3,3,1,4,4,3,2
1033607,3,2,5,3,1,1,4,2
1033608,0.5,0.5,2,0,2,2,4,1
1033609,2,2,1,1,2,2,2,4
1033610,2,2,3,2,4,3,5,4
1033611,1,0.5,2,1,1,0.5,7,5
1033613,7,7,0,0,7,7,7,6
1033614,2,3,0.5,2,3,5,3,1
1033615,3,1,4,2,1,0.5,4,2
1033616,0,0,0.5,0,4,2,2,1
1033617,0,0.5,0,0,4,4,4,3
1033618,1,1,1,0,1,0.5,2,1
1033619,3,1,2,1,0.5,0.5,5,2
1033620,1,1,0.5,1,0,0,1,3
1033621,6,5,6,3,7,7,4,3
1033622,0.5,0.5,5,3,0.5,0.5,2,1
1033624,1,0.5,3,0.5,0,0,2,3
1033625,0,0,2,2,4,4,4,3
1033626,3,2,2,1,7,5,4,2
1033627,2,3,0,0,2,3,0.5,1
1033628,2,1,0,0.5,1,1,0.5,0.5
1033629,0.5,0.5,3,2,4,2,3,2
1033630,0.5,1,0,0,2,1,3,1
1033631,5,3,7,7,2,5,7,5
1033632,5,4,2,0,7,7,2,1
1033633,0,0,2,2,3,2,3,2
1033634,1,0,5,1,3,1,1,0
1033635,0.5,1,3,1,3,2,4,2
1033636,2,1,3,1,4,4,5,4
1033637,0,1,2,0.5,2,1,1,0.5
1033638,2,2,2,0.5,4,3,4,3
1033639,1,0.5,0,0,6,4,5,6
1033640,5,4,0,0,4,3,2,2
1033641,0.5,0.5,1,0.5,2,1,1,0.5
1033642,4,3,3,2,4,3,7,4
1033643,0.5,0.5,2,1,1,0.5,3,2
1033644,5,2,4,2,0.5,0.5,3,2
1033645,5,4,5,3,5,4,0.5,0.5
1033646,5,5,4,3,7,7,3,3
1033647,4,3,0,0,0.5,0.5,2,2
1033648,2,1,2,1,1,2,4,2
1033649,0.5,0.5,3,2,4,2,6,5
1033650,7,7,7,7,1,1,0,0
1033651,0,0,0,0,3,4,2,1
1033652,2,2,5,4,3,3,4,3
1033653,0,0,2,2,1,1,3,3
1033654,0,0.5,1,2,2,2,2,3
1033657,0,0.5,7,6,3,3,1,0
1033659,0.5,2,1,0.5,4,4,3,2
1033660,0.5,1,1,0,0.5,0.5,0.5,0.5
1033661,2,2,3,1,0,0,6,6
1033662,0.5,0.5,3,0.5,1,0.5,2,2
1033663,0.5,0.5,1,0,5,3,4,2
1033664,0,0,0.5,0.5,6,4,4,3
1033665,0.5,0.5,6,1,0,0,1,3
1033666,0.5,2,1,0.5,4,3,2,0.5
1033667,1,0.5,2,0.5,0.5,0.5,4,3
1033668,3,1,3,0,0.5,0.5,3,1
1033669,0,0,3,0.5,6,5,4,3
1033670,0,0,1,1,5,2,4,2
1033671,0.5,0.5,1,1,4,3,2,3
1033672,1,0.5,4,3,4,2,2,1
1033673,0.5,0,4,0,2,1,3,1
1033674,4,2,3,5,4,2,3,4
1033675,0.5,0.5,2,1,0.5,0.5,5,3
1033676,1,0.5,4,2,0.5,0.5,2,1
1033677,0.5,1,0.5,1,0.5,0.5,5,4
1033678,0,0,0,0,0,0,5,4
1033679,0.5,0.5,2,1,2,2,5,3
1033681,3,2,5,0.5,2,2,6,2
1033682,0.5,1,3,1,0,0,7,2
1033683,7,6,5,2,3,2,2,0.5
1033684,3,1,3,1,3,1,3,1
1033685,0,0,3,2,5,4,6,3
1033686,0.5,0.5,7,2,4,2,7,6
1033687,2,2,2,2,2,2,2,2
1033688,1,1,1,1,4,3,2,1
1033689,2,2,6,4,1,1,0.5,0.5
1033691,2,2,4,2,4,3,3,2
1033692,4,4,1,1,4,4,1,0.5
1033693,0.5,0.5,1,0,2,1,3,2
1033694,7,3,3,1,0,0,2,1
1033696,2,1,2,2,0.5,0.5,3,1
1033697,3,3,0.5,0,7,3,5,2
1033698,0.5,0.5,3,1,4,2,2,1
1033699,2,2,0,0,0.5,0.5,1,0.5
1033700,7,6,7,6,0,0,4,2
1033701,4,4,5,3,0.5,0.5,1,0.5
1033702,2,2,4,1,0.5,0.5,4,2
1033703,1,1,0,0,0.5,0.5,1,1
1033704,1,1,2,1,2,1,3,2
1033705,0.5,0,0,0.5,2,1,0.5,0
1033706,0,0,0,0,0.5,0.5,2,1
1033707,0.5,0,5,1,1,0.5,6,3
1033708,1,0.5,3,1,3,1,4,2
1033709,4,2,5,0.5,4,3,2,1
1033710,0,0,3,0.5,7,5,3,0.5
1033711,0,0,2,1,0.5,0.5,2,1
1033712,2,2,3,2,2,1,3,2
1033713,7,7,7,7,7,7,7,7
1033714,0,0,0,0,0.5,0.5,4,3
1033715,0.5,0.5,3,5,0,0,1,1
1033716,5,3,0,0,1,2,3,1
1033717,0.5,0.5,4,3,0.5,0.5,6,4
1033718,0.5,0.5,0,0,1,2,2,2
1033719,0,0,3,3,7,7,5,4
1033720,0,0.5,7,5,0,0,1,1
1033721,5,3,7,6,5,3,2,0.5
1033722,0.5,0.5,6,4,7,5,7,6
1033723,0.5,0,2,1,0,0,5,3
1033724,2,1,3,1,2,1,4,2
1033725,4,3,3,2,0,0,0.5,0.5
1033726,0,1,4,2,1,1,0,2
1033727,0,0,7,6,7,7,7,5
1033728,1,1,2,0,0,0,5,3
1033729,3,2,7,5,7,7,3,1
1033730,1,1,0.5,0,0.5,0.5,2,2
1033731,1,2,1,0,4,5,3,2
1033732,0.5,0.5,2,2,2,1,3,2
1033733,1,1,1,2,1,1,0.5,1
1033734,0.5,0.5,5,4,0.5,0.5,0.5,2
1033735,0.5,1,2,0,2,2,6,4
1033736,1,0,0,1,0.5,0.5,3,3
1033738,3,2,4,2,7,5,3,2
1033739,0.5,0.5,2,2,0.5,0,1,1
1033740,2,1,2,0,4,2,5,3
1033741,1,4,0,0.5,1,2,0.5,3
1033742,0,0,7,6,0.5,0.5,2,2
1033743,0,0,0.5,2,7,7,3,4
1033744,0,0,0,0,6,5,6,5
1033745,5,5,7,6,0.5,0.5,0.5,1
1033746,3,4,3,3,1,2,3,4
1033747,0,0,4,1,4,3,4,3
1033748,0,0,0,0,3,3,4,4
1033750,1,0.5,4,0.5,3,3,2,3
1033751,1,1,1,0,4,3,3,0.5
1033752,1,0.5,0,0,1,0.5,3,1
1033753,4,2,5,3,1,3,4,4
1033754,2,2,3,0,3,2,2,3
1033755,2,2,0,0,0,0,4,3
1033756,3,2,4,2,0.5,0.5,1,1
1033757,2,1,0,0,1,0.5,2,1
1033758,0,0.5,2,4,4,3,1,3
1033759,3,2,1,0.5,3,2,4,2
1033760,3,4,0.5,0,3,2,7,2
1033761,1,1,3,2,0,0,4,2
1033762,1,1,0,0,2,2,2,2
1033763,0.5,0.5,4,3,4,3,2,2
1033764,2,2,3,0,2,2,1,4
1033765,0,0,2,1,7,7,4,2
1033766,0,0.5,0,0,6,4,5,2
1033767,5,3,2,0.5,3,2,4,2
1033768,1,1,0.5,0.5,5,3,6,4
1033769,3,3,3,3,1,3,5,3
1033770,0.5,1,6,3,7,5,2,2
1033771,1,2,6,2,5,4,2,3
1033772,0,0,7,7,1,0.5,1,2
1033773,0,0,4,2,0,0,2,1
1033774,0.5,0,2,1,3,2,3,2
1033775,0.5,0.5,0,0,1,1,1,1
1033776,2,3,0,0,3,6,0.5,1
1033777,7,6,3,4,7,6,4,3
1033778,2,1,2,0.5,0.5,0.5,4,3
1033779,3,5,4,3,3,3,2,4
1033780,3,1,1,1,7,6,4,3
1033781,0,0.5,0.5,0,2,2,1,3
1033782,3,2,0,0,2,2,5,4
1033783,7,4,5,0,1,0.5,7,7
1033784,3,3,3,3,2,2,7,6
1033785,1,0.5,7,4,0,0,6,4
1033786,0,0,0.5,0,3,3,2,3
1033787,0,0,4,3,0.5,0.5,4,3
1033788,3,3,7,7,0,0,0.5,2
1033789,1,1,2,2,3,3,3,3
1033790,3,3,0.5,1,5,4,2,4
1033791,0,0,6,4,5,5,5,4
1033792,1,0,5,2,3,2,5,3
1033793,5,4,0,0,5,4,3,3
1033794,2,1,3,2,2,2,5,4
1033795,1,1,5,2,0,0,2,1
1033796,3,2,0,0,4,3,2,2
1033797,1,1,5,3,0,0,2,0.5
1033798,0,0,2,2,7,7,7,7
1033799,5,1,1,0,1,1,0,0
1033800,0,0,5,3,1,0.5,1,2
1033801,2,0.5,1,0.5,1,0.5,1,0.5
1033802,2,1,5,4,5,5,3,3
1033803,3,2,4,3,5,4,4,3
1033804,5,3,7,4,5,3,5,2
1033805,2,2,2,0.5,0.5,0.5,5,2
1033806,5,2,3,2,6,6,5,4
1033807,3,3,5,4,7,7,3,1
1033808,0,4,1,0,2,2,1,0.5
1033809,2,1,0,0,2,2,4,2
1033810,2,3,7,4,4,3,7,5
1033811,1,0.5,2,1,2,1,4,3
1033812,1,1,4,3,1,2,3,2
1033813,1,2,2,1,0.5,0.5,3,3
1033814,0.5,1,6,3,2,2,5,3
1033815,6,6,0,0,0.5,0.5,2,0
1033816,1,1,0,0,7,7,6,4
1033818,3,3,7,4,7,5,5,3
1033819,0.5,0.5,1,0.5,6,6,2,2
1033820,1,0.5,2,1,2,1,4,2
1033821,2,2,5,2,1,1,3,2
1033822,0.5,0.5,1,0,2,1,2,2
1033823,0,0,2,1,4,3,7,6
1033824,1,1,3,1,1,1,4,3
1033825,2,0.5,3,1,0.5,0.5,3,2
1033826,0.5,0.5,1,1,3,4,4,2
1033827,4,3,7,7,5,4,2,0
1033828,0,0.5,5,4,7,4,3,0
1033829,0.5,0.5,3,3,6,6,3,3
1033830,0,0,2,1,3,0.5,3,2
1033831,1,1,2,1,3,2,2,1
1033832,3,2,3,0,2,3,4,3
1033833,3,2,3,3,6,4,3,2
1033835,1,2,3,1,1,0.5,0.5,2
1033836,0.5,0,3,3,2,2,2,4
1033837,3,2,4,2,2,2,4,2
1033838,0.5,0,3,1,0.5,0,2,2
1033839,0.5,0.5,6,3,4,4,2,1
1033840,2,2,1,0.5,0.5,1,5,3
1033842,4,1,3,3,0.5,0.5,6,4
1033843,0.5,0.5,1,1,7,7,3,1
1033844,0,0,2,0.5,5,4,5,3
1033845,0,0,1,0,7,4,2,0.5
1033846,1,0.5,0,0,3,2,3,1
1033847,1,1,7,5,2,1,2,1
1033848,0.5,0.5,2,1,4,4,2,1
1033849,4,3,5,3,1,0.5,2,0.5
1033850,4,2,1,0.5,5,1,4,2
1033851,7,6,7,7,1,2,5,3
1033852,1,2,3,2,1,1,3,2
1033853,6,6,7,6,1,1,7,7
1033854,0.5,0,0,0,7,5,5,2
1033855,4,0.5,4,0.5,6,3,2,1
1033856,2,2,0.5,0,2,2,3,2
1033857,0.5,2,4,1,0.5,0.5,0.5,0.5
1033858,7,6,2,2,4,2,7,5
1033859,3,3,3,3,5,4,5,6
1033860,1,1,2,1,0.5,0,2,1
1033861,4,3,4,3,6,6,2,2
1033862,5,4,1,0,2,3,2,2
1033863,0.5,0.5,3,3,1,1,7,3
1033864,4,2,4,2,3,1,4,3
1033865,6,6,7,7,0,0,2,1
1033866,3,3,2,1,7,5,2,1
1033867,0.5,1,4,2,3,2,1,0.5
1033868,0,0,4,0,2,1,7,4
1033869,2,1,3,0.5,3,2,3,1
1033870,0,0,1,0.5,2,1,3,1
1033871,3,2,3,0,1,0.5,3,1
1033872,4,3,0,0,4,3,4,3
1033873,3,1,0,0,6,2,7,1
1033874,6,5,0.5,0.5,7,7,6,7
1033875,0,0.5,0,0,5,2,5,2
1033876,7,5,0,0,7,5,7,5
1033878,0,0,2,0,3,3,2,4
1033879,2,2,0,0,5,4,6,4
1033880,4,2,0,0,4,2,2,1
1033881,2,2,0.5,0,0.5,0.5,2,1
1033882,4,2,0,0,3,2,2,1
1033883,7,7,0,0,7,7,3,2
1033884,4,3,0,0,3,1,4,3
1033885,3,1,5,2,6,5,5,3
1033886,3,3,0,0.5,1,0.5,3,3
1033887,2,1,0,0,1,1,1,2
1033888,2,3,0,0,7,7,7,4
1033889,4,1,0,0,4,1,7,1
1033890,2,3,0,0,5,3,4,2
1033891,0.5,5,3,0,7,7,7,0
1033892,3,0.5,0,0,3,1,1,0
1033893,1,3,0.5,0,4,3,3,2
1033894,2,2,0,0,7,7,7,5
1033896,3,3,0,0,1,0.5,7,4
1033897,6,4,1,0.5,7,3,2,0.5
1033898,4,2,3,2,5,4,4,3
1033899,2,1,1,0,2,0.5,2,1
1033900,1,1,0.5,0.5,4,3,5,3
1033901,0,0,1,1,7,5,5,4
1033902,0,1,0,0,4,3,2,1
1033903,3,0.5,2,0,7,7,5,3
1033904,0,0,0,1,7,7,0.5,4
1033905,5,0.5,0,0,7,3,1,0
1033906,0,0.5,0,0,7,7,4,2
1033907,0,0.5,1,0.5,6,5,3,4
1033908,2,1,0,0,1,1,6,2
1033909,4,6,0.5,0,4,3,3,2
1033910,0,0,0,0,4,2,5,1
1033911,1,1,0,0,5,5,0,0
1033912,1,1,0.5,0,3,2,4,2
1033913,0.5,3,1,0,4,3,7,6
1033914,3,4,1,0,5,4,3,1
1033915,3,2,0,0,4,4,1,1
1033916,1,2,0,0,1,1,2,0
1033917,5,2,0,0,6,4,7,5
1033918,1,1,0,0,2,0,5,1
1033919,1,0.5,0,0,3,2,4,2
1033920,0,0,0.5,0,5,4,2,2
1033921,7,7,7,7,7,7,6,6
1033922,0.5,1,0,0,5,3,7,6
1033923,0.5,4,0,1,1,1,1,0.5
1033924,2,2,1,1,7,7,0.5,0
1033925,1,0.5,0,0.5,2,0.5,2,1
